col1,col2
18:26.3,1904
18:26.3,1908
18:26.3,1907
18:26.3,1899
18:26.3,1906
18:26.3,1902
18:26.3,1900
18:26.3,1907
18:26.3,1903
18:26.3,1900
18:26.3,1903
18:26.3,1899
18:26.3,1901
18:26.3,1899
18:26.4,1898
18:26.4,1907
18:26.4,1904
18:26.4,1899
18:26.4,1899
18:26.4,1899
18:26.4,1905
18:26.4,1897
18:26.4,1904
18:26.4,1904
18:26.4,1900
18:26.4,1898
18:26.4,1901
18:26.4,1900
18:26.4,1903
18:26.4,1902
18:26.4,1904
18:26.4,1902
18:26.4,1900
18:26.4,1904
18:26.4,1898
18:26.4,1903
18:26.4,1901
18:26.4,1902
18:26.4,1897
18:26.4,1899
18:26.4,1906
18:26.4,1907
18:26.4,1901
18:26.4,1904
18:26.4,1906
18:26.4,1907
18:26.4,1901
18:26.4,1904
18:26.4,1902
18:26.4,1904
18:26.4,1899
18:26.4,1908
18:26.4,1908
18:26.4,1900
18:26.4,1899
18:26.4,1905
18:26.4,1902
18:26.4,1907
18:26.4,1899
18:26.4,1904
18:26.4,1901
18:26.4,1898
18:26.4,1897
18:26.4,1903
18:26.4,1900
18:26.5,1897
18:26.5,1900
18:26.5,1899
18:26.5,1903
18:26.5,1902
18:26.5,1899
18:26.5,1906
18:26.5,1907
18:26.5,1906
18:26.5,1904
18:26.5,1902
18:26.5,1907
18:26.5,1908
18:26.5,1905
18:26.5,1903
18:26.5,1902
18:26.5,1904
18:26.5,1900
18:26.5,1900
18:26.5,1901
18:26.5,1899
18:26.5,1900
18:26.5,1899
18:26.5,1901
18:26.5,1898
18:26.5,1897
18:26.5,1895
18:26.5,1898
18:26.5,1897
18:26.5,1898
18:26.5,1894
18:26.5,1896
18:26.5,1894
18:26.5,1891
18:26.5,1898
18:26.5,1901
18:26.5,1897
18:26.5,1905
18:26.5,1907
18:26.5,1905
18:26.5,1890
18:26.5,1892
18:26.5,1894
18:26.5,1899
18:26.5,1898
18:26.5,1900
18:26.5,1905
18:26.5,1892
18:26.5,1897
18:26.5,1899
18:26.5,1899
18:26.6,1900
18:26.6,1900
18:26.6,1905
18:26.6,1907
18:26.6,1906
18:26.6,1911
18:26.6,1907
18:26.6,1905
18:26.6,1904
18:26.6,1907
18:26.6,1911
18:26.6,1911
18:26.6,1916
18:26.6,1918
18:26.6,1912
18:26.6,1909
18:26.6,1915
18:26.6,1915
18:26.6,1905
18:26.6,1902
18:26.6,1906
18:26.6,1899
18:26.6,1892
18:26.6,1894
18:26.6,1899
18:26.6,1898
18:26.6,1901
18:26.6,1906
18:26.6,1907
18:26.6,1904
18:26.6,1912
18:26.6,1905
18:26.6,1903
18:26.6,1910
18:26.6,1908
18:26.6,1917
18:26.6,1921
18:26.6,1910
18:26.6,1904
18:26.6,1916
18:26.6,1923
18:26.6,1922
18:26.6,1922
18:26.6,1930
18:26.6,1935
18:26.6,1930
18:26.6,1948
18:26.6,1950
18:26.6,1954
18:26.6,1971
18:26.6,1976
18:26.7,1968
18:26.7,1961
18:26.7,1949
18:26.7,1957
18:26.7,1960
18:26.7,1961
18:26.7,1958
18:26.7,1969
18:26.7,1972
18:26.7,1969
18:26.7,1963
18:26.7,1959
18:26.7,1953
18:26.7,1957
18:26.7,1959
18:26.7,1945
18:26.7,1950
18:26.7,1951
18:26.7,1951
18:26.7,1940
18:26.7,1935
18:26.7,1888
18:26.7,1829
18:26.7,1795
18:26.7,1915
18:26.7,1965
18:26.7,1914
18:26.7,1852
18:26.7,1860
18:26.7,1891
18:26.7,1879
18:26.7,1860
18:26.7,1849
18:26.7,1875
18:26.7,1892
18:26.7,1883
18:26.7,1873
18:26.7,1885
18:26.7,1887
18:26.7,1890
18:26.7,1889
18:26.7,1896
18:26.7,1895
18:26.7,1884
18:26.7,1888
18:26.7,1891
18:26.7,1891
18:26.7,1891
18:26.7,1900
18:26.7,1885
18:26.7,1890
18:26.8,1888
18:26.8,1882
18:26.8,1888
18:26.8,1881
18:26.8,1887
18:26.8,1884
18:26.8,1879
18:26.8,1879
18:26.8,1872
18:26.8,1873
18:26.8,1865
18:26.8,1863
18:26.8,1853
18:26.8,1854
18:26.8,1854
18:26.8,1876
18:26.8,1882
18:26.8,1878
18:26.8,1868
18:26.8,1883
18:26.8,1893
18:26.8,1912
18:26.8,1919
18:26.8,1934
18:26.8,1937
18:26.8,1927
18:26.8,1914
18:26.8,1899
18:26.8,1890
18:26.8,1890
18:26.8,1897
18:26.8,1901
18:26.8,1899
18:26.8,1907
18:26.8,1917
18:26.8,1914
18:26.8,1916
18:26.8,1915
18:26.8,1917
18:26.8,1908
18:26.8,1903
18:26.8,1905
18:26.8,1903
18:26.8,1901
