MagX;MagY;MagZ;AccX;AccY;AccZ;GyroR;GyroP;GyroY
-146;585;1;2;353;-515;-534;-529;0
-148;588;1;2;353;-516;-534;-529;0
-151;585;1;2;353;-515;-533;-529;0
-159;588;1;2;353;-515;-533;-529;0
-148;585;1;2;353;-516;-534;-529;0
-150;585;1;2;353;-516;-534;-530;0
-152;587;1;2;353;-515;-534;-529;0
-147;586;1;2;353;-515;-534;-529;0
-153;588;1;2;352;-515;-534;-529;0
-155;586;1;2;352;-516;-534;-530;0
-154;586;1;2;352;-515;-534;-530;0
-159;587;1;1;353;-515;-533;-529;0
-154;587;1;1;354;-516;-534;-529;0
-154;585;1;2;353;-516;-534;-529;0
-146;586;1;2;353;-516;-534;-530;0
-149;587;1;2;353;-515;-534;-530;0
-150;585;1;2;353;-515;-535;-529;0
-148;587;1;2;353;-515;-534;-530;0
-155;585;1;2;353;-515;-534;-529;0
-150;587;1;2;353;-515;-534;-529;0
-151;587;1;2;353;-516;-534;-530;0
-145;586;1;2;352;-516;-534;-529;0
-145;586;1;2;352;-516;-534;-530;0
-156;586;1;2;353;-516;-534;-530;0
-148;587;1;2;353;-516;-534;-529;0
-150;586;1;2;354;-516;-534;-530;0
-146;588;1;1;354;-516;-535;-530;0
-152;587;1;1;354;-516;-534;-529;0
-148;587;1;1;354;-516;-534;-529;0
-147;587;2;1;354;-515;-534;-529;0
-150;586;2;1;353;-515;-534;-530;0
-149;588;2;2;353;-516;-534;-529;0
-152;586;1;2;354;-516;-534;-529;0
-154;587;1;2;353;-516;-534;-529;0
-153;586;1;3;353;-516;-533;-530;0
-143;586;1;3;353;-515;-534;-529;0
-152;585;1;2;353;-516;-534;-529;0
-151;587;1;2;354;-516;-534;-529;0
-149;588;1;2;353;-516;-534;-529;0
-152;588;1;1;354;-516;-534;-529;0
-147;588;1;1;354;-516;-534;-530;0
-151;588;1;1;354;-516;-534;-530;0
-152;589;1;2;353;-516;-534;-529;0
-149;586;1;2;353;-516;-534;-530;0
-144;587;1;2;353;-515;-534;-530;0
-150;587;1;2;353;-515;-534;-529;0
-155;587;1;2;353;-515;-534;-530;0
-143;586;1;1;353;-515;-534;-529;0
-146;588;1;1;354;-515;-535;-529;0
-147;586;1;1;354;-515;-534;-529;0
-146;587;1;1;354;-516;-534;-529;0
-146;589;2;2;353;-516;-534;-529;0
-149;587;1;2;354;-516;-535;-530;0
-144;588;1;2;353;-515;-533;-530;0
-145;587;1;3;353;-516;-534;-530;0
-145;589;1;2;354;-516;-534;-529;0
-142;588;1;2;354;-515;-534;-529;0
-149;588;1;2;355;-515;-534;-530;0
-149;587;1;1;354;-516;-534;-530;0
-144;588;1;1;354;-515;-534;-529;0
-143;587;2;1;354;-515;-534;-530;0
-144;587;2;2;353;-516;-534;-529;0
-155;588;2;2;353;-515;-534;-529;0
-155;590;1;2;353;-516;-534;-529;0
-152;589;1;2;353;-516;-534;-530;0
-155;589;1;2;353;-516;-534;-530;0
-150;589;1;2;353;-516;-534;-529;0
-148;585;1;1;354;-516;-534;-529;0
-158;589;1;1;353;-515;-534;-529;0
-150;588;1;1;354;-516;-535;-529;0
-152;588;1;2;353;-515;-534;-529;0
-155;588;1;2;353;-516;-534;-530;0
-149;592;1;3;353;-515;-535;-530;0
-156;589;1;3;352;-515;-534;-529;0
-149;588;1;2;353;-516;-534;-529;0
-151;589;1;2;353;-516;-535;-529;0
-154;589;1;2;354;-515;-534;-529;0
-151;588;1;1;354;-516;-534;-530;0
-157;589;1;1;354;-516;-534;-529;0
-152;586;1;1;354;-516;-534;-529;0
-156;587;2;2;354;-514;-535;-529;0
-150;589;2;2;354;-516;-534;-529;0
-153;590;2;2;353;-515;-534;-530;0
-153;589;1;2;354;-515;-534;-530;0
-160;589;1;2;353;-515;-534;-529;0
-152;587;1;2;353;-515;-534;-529;0
-151;588;1;2;354;-515;-534;-530;0
-152;588;1;2;353;-515;-534;-530;0
-155;588;1;2;353;-516;-534;-529;0
-155;590;1;2;353;-515;-534;-529;0
-148;587;1;2;353;-516;-534;-530;0
-144;590;1;2;353;-516;-534;-529;0
-146;588;1;2;353;-516;-534;-529;0
-147;590;1;2;353;-516;-534;-529;0
-144;589;1;2;353;-516;-534;-530;0
-148;588;1;1;353;-516;-534;-529;0
-144;588;1;1;353;-516;-534;-529;0
-148;589;1;1;353;-516;-535;-530;0
-142;588;1;1;353;-516;-535;-530;0
-152;588;1;2;354;-516;-534;-529;0
-153;588;2;2;354;-516;-533;-529;0
-147;591;1;2;354;-515;-533;-529;0
-147;588;1;2;353;-515;-534;-530;0
-153;591;1;2;353;-516;-534;-529;0
-151;590;1;2;353;-515;-535;-530;0
-144;589;1;2;354;-516;-534;-529;0
-147;589;1;1;354;-516;-534;-529;0
-142;591;1;1;354;-515;-534;-529;0
-150;589;1;1;354;-516;-534;-529;0
-150;586;1;2;353;-516;-534;-529;0
-145;590;1;2;354;-516;-534;-529;0
-142;591;1;2;353;-516;-534;-530;0
-146;589;1;2;354;-515;-534;-529;0
-146;591;1;2;354;-515;-534;-530;0
-151;591;1;2;353;-516;-533;-529;0
-144;587;1;1;354;-516;-534;-530;0
-148;589;1;1;354;-516;-533;-529;0
-151;588;1;1;354;-516;-534;-529;0
-145;589;1;2;354;-515;-534;-530;0
-143;588;1;2;353;-515;-534;-530;0
-149;590;1;2;353;-516;-534;-530;0
-143;588;1;2;354;-516;-534;-529;0
-153;587;1;2;354;-515;-533;-530;0
-154;590;1;2;353;-515;-533;-529;0
-154;591;1;2;354;-516;-534;-529;0
-149;587;1;2;353;-515;-534;-530;0
-151;590;1;2;353;-515;-534;-529;0
