latitude(deg);longitude(deg);height(m);Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio
40096688481;-105147251645;15715158;2;8;18.842;21.802;46.267;-0.3679;-18.573;-19.097;0.99;0.0
40096689779;-105147257720;15710333;2;8;15.740;17.501;35.523;-0.7793;-10.548;-16.499;0.19;0.0
40096688989;-105147276580;15711066;2;8;12.444;13.973;29.922;-0.5175;-0.9597;-12.757;0.39;0.0
40096689058;-105147283654;15722978;2;8;10.636;11.987;25.656;-0.3970;-0.8821;-10.817;0.59;0.0
40096689654;-105147289440;15717998;2;8;0.9445;10.669;22.824;-0.3270;-0.8130;-0.9566;0.79;0.0
40096686488;-105147286929;15727444;2;8;0.8583;0.9710;20.765;-0.2809;-0.7558;-0.8672;0.99;0.0
40096684446;-105147293677;15732669;2;12;0.7645;0.8868;18.847;-0.2342;-0.7205;-0.7526;0.19;0.0
40096684163;-105147296019;15731528;2;13;0.6832;0.8234;16.990;-0.2019;-0.6844;-0.6160;0.39;0.0
40096682949;-105147296655;15730065;2;13;0.6371;0.7720;15.963;-0.1821;-0.6512;-0.5726;0.59;0.0
40096682499;-105147298424;15730943;2;13;0.5926;0.7292;14.905;-0.1656;-0.6213;-0.5034;0.79;0.0
40096681014;-105147298628;15736637;2;13;0.5628;0.6957;14.202;-0.1473;-0.5967;-0.4794;0.99;0.0
40096681259;-105147298457;15736207;2;13;0.5304;0.6639;13.399;-0.1384;-0.5732;-0.4383;0.19;0.0
40096680978;-105147298065;15739477;2;13;0.5079;0.6361;12.879;-0.1306;-0.5523;-0.4220;0.39;0.0
40096680252;-105147298336;15738458;2;13;0.4885;0.6116;12.506;-0.1237;-0.5330;-0.4037;0.59;0.0
40096679903;-105147298405;15739147;2;13;0.4669;0.5897;11.951;-0.1184;-0.5157;-0.3773;0.79;0.0
40096679973;-105147298149;15737264;2;13;0.4481;0.5699;11.464;-0.1137;-0.4998;-0.3549;0.99;0.0
40096680287;-105147296106;15736687;2;13;0.4342;0.5520;11.131;-0.1091;-0.4856;-0.3464;0.19;0.0
40096680100;-105147295677;15737630;2;13;0.4189;0.5357;10.735;-0.1055;-0.4721;-0.3286;0.39;0.0
40096680316;-105147295585;15738066;2;13;0.4075;0.5208;10.459;-0.1017;-0.4600;-0.3219;0.59;0.0
40096680749;-105147295536;15737890;2;13;0.3969;0.5070;10.203;-0.0983;-0.4487;-0.3156;0.79;0.0
40096680896;-105147295813;15738059;2;13;0.3871;0.4943;0.9965;-0.0952;-0.4382;-0.3096;0.99;0.0
40096681117;-105147295314;15738293;2;13;0.3792;0.4825;0.9758;-0.0937;-0.4278;-0.3067;0.19;0.0
40096681223;-105147294595;15737941;2;13;0.3718;0.4716;0.9564;-0.0922;-0.4180;-0.3037;0.39;0.0
40096681760;-105147294218;15737457;2;13;0.3637;0.4612;0.9366;-0.0895;-0.4094;-0.2983;0.59;0.0
40096681944;-105147293838;15737574;2;13;0.3561;0.4516;0.9179;-0.0871;-0.4013;-0.2931;0.79;0.0
40096682008;-105147293483;15737088;2;13;0.3490;0.4425;0.9003;-0.0848;-0.3936;-0.2882;0.99;0.0
40096682314;-105147293826;15735671;2;15;0.3402;0.4336;0.8785;-0.0837;-0.3860;-0.2781;0.19;0.0
40096682466;-105147293897;15735670;2;15;0.3323;0.4255;0.8583;-0.0822;-0.3789;-0.2690;0.39;0.0
40096682650;-105147294250;15735270;2;15;0.3251;0.4183;0.8394;-0.0798;-0.3724;-0.2608;0.59;0.0
